,index,WBS,Task.Name,Score.Groups,link,begin,end,Predecessors,leaf,prob
28,28,1.4.3.5.,Multiplication of fractions,3,https://www.youtube.com/watch?v=CTKMK1ZGLuk,,,21,TRUE,62
29,29,1.4.3.6.,Division of fractions,3,"https://www.youtube.com/watch?v=jXTSbGd6HtU
https://www.youtube.com/watch?v=-zMp-hBAzLs",,,21,TRUE,62
31,31,1.4.4.1.,Multiplication of decimals,4,https://www.youtube.com/watch?v=JEHejQphIYc,,2:18,21,TRUE,30
32,32,1.4.4.2.,Division of decimals,4,https://www.youtube.com/watch?v=nfTTVYwN9tc,,,21,TRUE,30
33,33,1.4.4.3.,Place Value,3,https://www.youtube.com/watch?v=K6NM8rWhdxU,,,21,TRUE,62
34,34,1.4.4.4.,Scientific Notation,2,https://www.youtube.com/watch?v=zwBsL-NgkjE,0:17,,21,TRUE,85
37,37,1.5.1.1.,Introduction to squaring,2,https://www.youtube.com/watch?v=tp87SUS4mMI,0:23,2:15,"6, 15",TRUE,85
38,38,1.5.1.2.,Squaring Negative Integers,3,https://www.youtube.com/watch?v=VhJyEUdBpkk,,,"6, 15",TRUE,62
39,39,1.5.1.3.,Perfect Square Numbers,2,,,,37,TRUE,85
40,40,1.5.2.,Square root of integers,3,"https://www.youtube.com/watch?v=tp87SUS4mMI
https://www.youtube.com/watch?v=5_gvcR6W_4g",2:28,3:55,"37, 57",TRUE,62
41,41,1.5.3.,Square of Fractions,4,,,,37,TRUE,30
44,44,1.6.1.1.,Introduction to Divisibility,1,https://www.youtube.com/watch?v=LUmbdLGeVQw,,2:37,6,TRUE,97
46,46,1.6.1.2.1,Divisible by 3,2,https://www.youtube.com/watch?v=2G_Jr_XpnY4,0:55,2:06,44,TRUE,85
47,47,1.6.1.2.2,Divisible by 5,2,https://www.youtube.com/watch?v=0qMsYaM1ito,,,44,TRUE,85
48,48,1.6.1.2.3,Divisible by 7,2,,,,44,TRUE,85
49,49,1.6.1.2.4,Divisible by 9,2,https://www.youtube.com/watch?v=XAzFGx3Ruig,,0:54,44,TRUE,85
50,50,1.6.1.2.5,Divisible by 10 and its powers,2,,,,44,TRUE,85
52,52,1.6.1.3.1.,Introduction to Multiples,3,https://www.youtube.com/watch?v=LUmbdLGeVQw,4:33,5:11,6,TRUE,62
53,53,1.6.1.3.2.,LCM,4,https://www.youtube.com/watch?v=QUem_2dkB9I,,,"6, 57",TRUE,30
54,54,1.6.2.,remainders,4,,,,6,TRUE,30
